HOLE_ID,error,local,PREDRILLED,DEPTH_MEASURED,Nominal_gripper,Estimated_gripper
MSN635_P1'_4,0.3273000000000003,-1.4296962033563745,-1,18.0,code_12,code_12
MSN635_P8'_3,0.0349249999999993,-1.7059578420019117,-1,17.7,code_12,code_12
MSN635_P8_3,0.0993750000000011,-0.9462383357266848,-1,17.7,code_12,code_12
MSN660_P1'_10,-0.3916999999999982,-1.1534345647108375,1,15.98,code_11,code_10
MSN660_P1'_1,0.0005750000000009,-1.2224999743722216,-1,17.84,code_12,code_12
MSN660_P8'_4,-0.1698749999999986,-1.7404905468326035,-1,21.44,code_14,code_14
MSN663_P8'_6,0.2634000000000006,-0.3591823536049186,-1,21.2,code_14,code_14
MSN663_P7'_12,0.0439999999999988,-0.1174534197900737,1,19.62,code_13,code_13
MSN664_P7'_12,0.1662250000000012,1.263854773437611,1,19.57,code_13,code_13
MSN667_P1_2,-0.3880250000000001,0.4350698575010002,1,18.37,code_12,code_12
MSN667_P8_3,0.2585000000000014,0.7113314961465371,-1,17.56,code_12,code_12
MSN669_P1'_12,-0.12915,1.263854773437611,-1,16.9,code_11,code_11
MSN669_P8'_3,0.336599999999998,0.91852772513069,-1,17.45,code_11,code_12
MSN600_P7'_11,0.0348749999999997,-1.015303745388069,-1,18.4,code_12,code_12
MSN673_P1'_1,-0.0406249999999986,0.1933409236861553,-1,18.06,code_12,code_12
MSN673_P7_12,0.1738499999999995,0.7113314961465371,1,19.42,code_13,code_13
MSN673_P8_3,0.4324499999999999,0.91852772513069,-1,17.62,code_12,code_12
MSN677_P1'_4,0.2396999999999989,1.540116412083148,-1,18.3,code_12,code_12
MSN677_P7'_12,-0.1006000000000014,1.2983874782683031,1,19.9,code_13,code_13
MSN677_P7'_13,0.021574999999999,1.3674528879296874,-1,19.9,code_13,code_13
MSN677_P1'_13,-0.0833000000000013,1.6437145265752244,1,17.0,code_11,code_11
MSN677_P8'_3,0.5666750000000018,1.1257239541148425,-1,17.3,code_11,code_12
MSN678_P1'_2,-0.2404999999999994,-0.3937150584356107,1,18.07,code_12,code_12
MSN678_P7'_12,0.0284250000000017,-0.773574811573224,1,19.91,code_13,code_13
MSN678_P8_1,0.0518250000000002,0.2969390381782317,1,13.81,code_9,code_9
MSN680_P8'_3,-0.059850000000002,0.400537152670308,-1,17.8,code_12,code_12
MSN680_P8_2,0.0447499999999991,1.6091818217445324,-1,16.0,code_11,code_11
MSN635_P1'_3,0.0920500000000004,-1.3951634985256822,-1,18.1,code_12,code_12
MSN635_P7'_12,-0.2388750000000002,-1.602359727509835,1,20.1,code_13,code_13
