No.,L1 - CFK,L1 - CFK,L1 - CFK,L1 - CFK,L2 - CFK Measure point 2,L2 - CFK Measure point 3,L2 - CFK Measure point 4,L2 - CFK Measure point 5,L3 - Flüssig Shim,L3 - Flüssig Shim,L3 - Flüssig Shim,L3 - Flüssig Shim,L4 - TI,L4 - TI,L4 - TI,L4 - TI,L5 - TI,L5 - TI,L5 - TI,L5 - TI,INDV RANGE,CSK depth,COMMENTS
,Hole,Hole,Burr,Burr,Hole,Hole,Burr,Burr,Hole,Hole,Burr,Burr,Hole,Hole,Burr,Burr,Hole,Hole,Burr,Burr,,,
,0°,90°,Entr.,Exit,0°,90°,Entr.,Exit,0°,90°,Entr.,Exit,0°,90°,Entr.,Exit,0°,90°,Entr.,Exit,,,
,L1 - CFK 0°,L1 - CFK 90°,L1 - CFK Entr.,L1 - CFK Exit,L2 - CFK Measure point 2 0°,L2 - CFK Measure point 2 90°,L2 - CFK Measure point 2 Entr.,L2 - CFK Measure point 2 Exit,L3 - Flüssig Shim 0°,L3 - Flüssig Shim 90°,L3 - Flüssig Shim Entr.,L3 - Flüssig Shim Exit,L4 - TI 0°,L4 - TI 90°,L4 - TI Entr.,L4 - TI Exit,L5 - TI 0°,L5 - TI 90°,L5 - TI Entr.,L5 - TI Exit,,,
1,7.9450,7.9400,-2.7510,,7.9370,7.9360,,,7.9340,7.9430,,,7.9400,7.9390,0.0280,0.1200,7.9400,7.9400,0.0160,0.0770,0.0110,,
2,7.9400,7.9390,-2.7490,,7.9390,7.9340,,,7.9400,7.9340,,,7.9370,7.9410,0.0300,0.1000,7.9410,7.9360,0.0200,0.0870,0.0070,,
3,7.9420,7.9400,-,,7.9370,7.9390,,,7.9310,7.9370,,,7.9400,7.9430,-,-,7.9410,7.9390,-,-,0.0120,,Force measurement Fmax = 555 N & pictures of cutting edges
4,7.9410,7.9400,-2.7400,,7.9370,7.9380,,,7.9600,7.9420,,,7.9410,7.9470,0.0350,0.0700,7.9480,7.9500,0.0130,0.0780,0.0230,,"Chip analysis, interacting with the vacuum (for collecting chips) caused a delayed spike in the torque graph in L3,"
5,7.9410,7.9400,-2.7110,,7.9380,7.9370,,,7.9290,7.9370,,,7.9420,7.9400,0.0170,0.0500,7.9410,7.9430,0.0210,0.0790,0.0140,,
6,7.9400,7.9410,-2.7060,,7.9390,7.9440,,,7.9330,7.9360,,,7.9410,7.9370,0.0360,0.1100,7.9410,7.9420,0.0300,0.0440,0.0110,,
7,7.9360,7.9380,-2.7240,,7.9360,7.9420,,,7.9360,7.9380,,,7.9420,7.9410,0.0380,0.0900,7.9400,7.9380,0.0240,0.0810,0.0060,,
8,7.9400,7.9360,-2.7410,,7.9370,7.9420,,,7.9390,7.9370,,,7.9400,7.9330,0.0350,0.0800,7.9410,7.9380,0.0360,0.0830,0.0090,,
9,7.9400,7.9380,-2.7410,,7.9350,7.9420,,,7.9330,7.9370,,,7.9410,7.9410,0.0290,0.0600,7.9380,7.9420,0.0220,0.0650,0.0090,,
10,7.9370,7.9380,-2.7590,,7.9340,7.9390,,,7.9340,7.9380,,,7.9430,7.9390,0.0300,0.1200,7.9410,7.9430,0.0380,0.1130,0.0090,,
11,7.9410,7.9380,-2.7330,,7.9370,7.9420,,,7.9340,7.9370,,,7.9380,7.9380,0.0360,0.1000,7.9410,7.9420,0.0200,0.0760,0.0080,,
12,7.9400,7.9400,-2.7200,,7.9350,7.9410,,,7.9340,7.9370,,,7.9370,7.9420,0.0390,0.0900,7.9410,7.9430,0.0290,0.1090,0.0090,,
13,7.9400,7.9380,-2.7350,,7.9350,7.9430,,,7.9310,7.9370,,,7.9410,7.9320,0.0340,0.0600,7.9380,7.9400,0.0250,0.0560,0.0120,,
14,7.9400,7.9350,-2.7400,,7.9350,7.9430,,,7.9390,7.9390,,,7.9400,7.9400,0.0280,0.1100,7.9420,7.9420,0.0390,0.1040,0.0080,,
15,7.9440,7.9410,-,,7.9360,7.9410,,,7.9380,7.9350,,,7.9380,7.9300,-,-,7.9420,7.9410,-,-,0.0140,,Force measurement Fmax = 561 N & pictures of cutting edges
16,7.9390,7.9390,-2.7320,,7.9380,7.9440,,,7.9390,7.9350,,,7.9390,7.9450,0.0510,0.0900,7.9430,7.9440,0.0210,0.0930,0.0100,,
17,7.9390,7.9410,-2.7350,,7.9350,7.9430,,,7.9330,7.9410,,,7.9400,7.9440,0.0360,0.0900,7.9360,7.9380,0.0290,0.1010,0.0110,,
18,7.9380,7.9360,-2.7410,,7.9330,7.9390,,,7.9320,7.9370,,,7.9420,7.9310,0.0380,0.0400,7.9310,7.9410,0.0180,0.0730,0.0110,,
19,7.9470,7.9390,-2.7880,,7.9360,7.9430,,,7.9490,7.9490,,,7.9420,7.9390,0.0110,0.1100,7.9410,7.9420,0.0350,0.1280,0.0130,,
20,7.9410,7.9370,-2.7300,,7.9370,7.9400,,,7.9330,7.9320,,,7.9360,7.9410,0.0450,0.1100,7.9410,7.9410,0.0230,0.0880,0.0090,,
21,7.9400,7.9380,-2.7270,,7.9350,7.9400,,,7.9330,7.9350,,,7.9330,7.9380,0.0410,0.0700,7.9400,7.9430,0.0230,0.1160,0.0100,,
22,7.9420,7.9370,-2.7270,,7.9370,7.9400,,,7.9330,7.9340,,,7.9440,7.9400,0.0490,0.0600,7.9310,7.9420,0.0120,0.0860,0.0130,,
23,7.9390,7.9410,-2.7810,,7.9340,7.9400,,,7.9360,7.9350,,,7.9360,7.9410,0.0470,0.1000,7.9400,7.9420,0.0410,0.0940,0.0080,,
24,7.9460,7.9410,-2.7310,,7.9370,7.9410,,,7.9290,7.9320,,,7.9440,7.9420,0.0420,0.0500,7.9320,7.9440,0.0320,0.1100,0.0170,,
25,7.9410,7.9380,-2.7270,,7.9350,7.9400,,,7.9340,7.9360,,,7.9420,7.9410,0.0450,0.0700,7.9360,7.9400,0.0270,0.1140,0.0080,,
26,7.9400,7.9400,-2.7330,,7.9360,7.9340,,,7.9330,7.9360,,,7.9410,7.9420,0.0500,0.0600,7.9430,7.9420,0.0210,0.1200,0.0100,,
27,7.9410,7.9400,-2.7150,,7.9350,7.9390,,,7.9330,7.9360,,,7.9440,7.9430,0.0600,0.0500,7.9380,7.9410,0.0130,0.1050,0.0110,,
28,7.9430,7.9400,-,,7.9380,7.9380,,,7.9440,7.9290,,,7.9380,7.9420,-,-,7.9390,7.9410,-,-,0.0150,,Force measurement Fmax = & 591 N
29,7.9460,7.9390,-,,7.9370,7.9400,,,7.9460,7.9360,,,7.9380,7.9410,-,-,7.9420,7.9420,-,-,0.0100,,Force measurement Fmax = & 601 N
30,7.9410,7.9400,-2.7310,,7.9360,7.9400,,,-,-,,,7.9300,7.9390,0.0430,0.0600,7.9340,7.9410,0.0310,0.0910,0.0110,,"Chip analysis, pictures of cutting edges, no Shim borehole, shim not long enough"
