no,l1__cfk_hole_0_l1__cfk_0,l1__cfk_hole_90_l1__cfk_90,l1__cfk_burr_entr_l1__cfk_entr,l1__cfk_burr_exit_l1__cfk_exit,l2__cfk_measure_point_2_hole_0_l2__cfk_measure_point_2_0,l2__cfk_measure_point_3_hole_90_l2__cfk_measure_point_2_90,l2__cfk_measure_point_4_burr_entr_l2__cfk_measure_point_2_entr,l2__cfk_measure_point_5_burr_exit_l2__cfk_measure_point_2_exit,l3__flüssig_shim_hole_0_l3__flüssig_shim_0,l3__flüssig_shim_hole_90_l3__flüssig_shim_90,l3__flüssig_shim_burr_entr_l3__flüssig_shim_entr,l3__flüssig_shim_burr_exit_l3__flüssig_shim_exit,l4__ti_hole_0_l4__ti_0,l4__ti_hole_90_l4__ti_90,l4__ti_burr_entr_l4__ti_entr,l4__ti_burr_exit_l4__ti_exit,l5__ti_hole_0_l5__ti_0,l5__ti_hole_90_l5__ti_90,l5__ti_burr_entr_l5__ti_entr,l5__ti_burr_exit_l5__ti_exit,indv_range,csk_depth,comments
1,7.945,7.94,-2.7510,,7.937,7.936,,,7.9340,7.9430,,,7.94,7.939,0.0280,0.1200,7.94,7.94,0.0160,0.0770,0.011,,
2,7.94,7.939,-2.7490,,7.939,7.934,,,7.9400,7.9340,,,7.937,7.941,0.0300,0.1000,7.941,7.936,0.0200,0.0870,0.007,,
3,7.942,7.94,-,,7.937,7.939,,,7.9310,7.9370,,,7.94,7.943,-,-,7.941,7.939,-,-,0.012,,Force measurement Fmax = 555 N & pictures of cutting edges
4,7.941,7.94,-2.7400,,7.937,7.938,,,7.9600,7.9420,,,7.941,7.947,0.0350,0.0700,7.948,7.95,0.0130,0.0780,0.023,,"Chip analysis, interacting with the vacuum (for collecting chips) caused a delayed spike in the torque graph in L3,"
5,7.941,7.94,-2.7110,,7.938,7.937,,,7.9290,7.9370,,,7.942,7.94,0.0170,0.0500,7.941,7.943,0.0210,0.0790,0.014,,
6,7.94,7.941,-2.7060,,7.939,7.944,,,7.9330,7.9360,,,7.941,7.937,0.0360,0.1100,7.941,7.942,0.0300,0.0440,0.011,,
7,7.936,7.938,-2.7240,,7.936,7.942,,,7.9360,7.9380,,,7.942,7.941,0.0380,0.0900,7.94,7.938,0.0240,0.0810,0.006,,
8,7.94,7.936,-2.7410,,7.937,7.942,,,7.9390,7.9370,,,7.94,7.933,0.0350,0.0800,7.941,7.938,0.0360,0.0830,0.009,,
9,7.94,7.938,-2.7410,,7.935,7.942,,,7.9330,7.9370,,,7.941,7.941,0.0290,0.0600,7.938,7.942,0.0220,0.0650,0.009,,
10,7.937,7.938,-2.7590,,7.934,7.939,,,7.9340,7.9380,,,7.943,7.939,0.0300,0.1200,7.941,7.943,0.0380,0.1130,0.009,,
